,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
28236,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2598.31,151.66,17,10
47309,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2598.31,151.66,17,10
12324,730e1e086679fd4f0a6f9584917a89f574083291,7/18/2015,store,-34.59998521,-58.43869991,2653.7,153.62,6,15
15827,730e1e086679fd4f0a6f9584917a89f574083291,7/18/2015,store,-34.59998521,-58.43869991,2653.7,153.62,6,15
15745,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2699.83,156.29,43,1
19369,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2677.63,156.29,43,1
23896,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2677.63,156.29,43,1
4094,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2705.53,156.62,43,1
6520,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2705.53,156.62,43,1
9192,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2705.53,156.62,43,1
12248,76074d55b5350e48fe35e8bf485f4cb1b225dbf2,4/13/2015,apartment,-34.6021118,-58.3851437,2705.53,156.62,43,1
35104,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2516.15,157.57,16,12
782,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
1933,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
4150,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
4153,0f39f49e399ea08bc05f97050e97093c69640925,4/13/2015,apartment,-34.67921892,-58.49035625,2758.73,159.7,30,8
4157,cce1d0eb89b229dbbfa1e33342ec6512d211292a,4/13/2015,apartment,-34.6902801,-58.4621129,2758.73,159.7,30,8
4159,70bd982c38792ca17c4b48b84720bf633770a0cf,4/13/2015,apartment,-34.6875963,-58.4735858,2758.73,159.7,34,8
6579,cce1d0eb89b229dbbfa1e33342ec6512d211292a,4/13/2015,apartment,-34.6902801,-58.4621129,2758.73,159.7,30,8
6582,70bd982c38792ca17c4b48b84720bf633770a0cf,4/13/2015,apartment,-34.6875963,-58.4735858,2758.73,159.7,34,8
6588,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
6589,0f39f49e399ea08bc05f97050e97093c69640925,4/13/2015,apartment,-34.67921892,-58.49035625,2758.73,159.7,30,8
9264,0f39f49e399ea08bc05f97050e97093c69640925,4/13/2015,apartment,-34.67921892,-58.49035625,2758.73,159.7,30,8
9265,70bd982c38792ca17c4b48b84720bf633770a0cf,4/13/2015,apartment,-34.6875963,-58.4735858,2758.73,159.7,34,8
9270,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
9271,cce1d0eb89b229dbbfa1e33342ec6512d211292a,4/13/2015,apartment,-34.6902801,-58.4621129,2758.73,159.7,30,8
12345,70bd982c38792ca17c4b48b84720bf633770a0cf,4/13/2015,apartment,-34.6875963,-58.4735858,2758.73,159.7,34,8
12350,0f39f49e399ea08bc05f97050e97093c69640925,4/13/2015,apartment,-34.67921892,-58.49035625,2758.73,159.7,30,8
12351,cce1d0eb89b229dbbfa1e33342ec6512d211292a,4/13/2015,apartment,-34.6902801,-58.4621129,2758.73,159.7,30,8
