field_1,id_left,lat,lon,join_long,join_lat,join_object,join_id,join_name,join_comune,distance
"199668",ef4b4c3e94b70d319d25031e7895e68a4fdba31c,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"200562",5f7a5701dc223a75b8faa58148605d7abcef54d6,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"201904",526c27a44ff7ef52c79f4ecd7441b5ac058e4be0,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"202889",b265bb6958a175652dda1c33e9c29064bec95cc7,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"203269",f1fe9110a66286e41b5eb42ab5ecc5db7f913cbb,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"203584",ecab3a6d62e678adb7c81eeed89930944b233599,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"204382",27945292ff96d17526ef28efce7767a753113c1b,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"207279",c27dcea6a5de25afdd3f300e6e6333394f550982,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"212193",2dc85e96b357c95f64c4e50b8a68734ecb9a72de,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"215843",f0affe6cddd1e6153cefed93d56ed3bdb3193de4,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"220323",76023b8663c88eeff24fbd022ac1beff921da61e,-34.5757789,-58.4301745,-58.4320745115729,-34.5768346779096,pharmacy,,,"14",0.00217364002805572
"225488",00a5e4715c259ca74fcd7dbbc9333fa57831f985,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"225838",8dbc5d42c304102fdc996d0996aee8e3a51e2a31,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"229073",4791174401fce875653fa28e720ada681b0f8c3f,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"229169",a979968da704a05f159af9c2c046c40dddd1d9e8,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"229245",62251bcec4001c3c915b760445b939a89b4c6808,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"230324",be5c64a63b7dd1169c8063a8d10447927f5c3a99,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"231256",40fac364fc437d24d2b3075eca3cfb5c82a4b497,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
