field_1,id_left,lat,lon,join_long,join_lat,join_id,join_object,join_name,distance
"159540",1ad5caeddfe209c5fadd78ac07b4344b7f90246f,-34.6072759538,-58.3977433851,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0717637155189287
"161824",8d099384feb48087009c87f8a8dd188428473af9,-34.6072464313,-58.3965090032,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.072793136840728
"178049",6fc7bfc42bbd436a92c3b6bf03c5795098494cd1,-34.6072759538,-58.3977433851,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0717637155189287
"183855",cd70e650847fb6c191ac9bdfecee3ee951628bab,-34.6072226,-58.3967397,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0726169784149765
"252056",d34ba0f806136105412c6852e38e1f868600c0f1,-34.6072759538,-58.3977433851,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0717637155189287
"84703",4c431beeec3f1128a3542e529dbf218c8e728165,-34.6202156,-58.4902962,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0372010227298121
"84710",5084f29780af5194f52051f37b070b5c9129debe,-34.6202156,-58.4902962,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0372010227298121
"112007",137d4940d1ef9b270bc4ed483cf18a027d179ce2,-34.6201462,-58.4904004,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0373256246161944
"186256",3de8c339d3378ddeb546f89fcc13b30c73080cbe,-34.620362,-58.4903018,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0371129003227941
"202615",cf102f9045f844bc9ba35532cf45b7684568297e,-34.6225914,-58.4891338,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0348150548111149
"84709",97300938c80ee20d011e3a926a241835ace2988c,-34.6331526,-58.478962,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0204372058507265
"89285",a335a93cda9acf278e1171fcb5f0ce51fd98a647,-34.6347212,-58.479329,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0199957847268478
"157523",1d2c318c46cd90d0182a32772cc1b374f275a43c,-34.6335329289,-58.4802230373,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0213403681525664
"166005",a1ac753b453008596af4fbc2fb6e34004844ddc1,-34.634122,-58.47874,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.019757334466148
"168222",f6d28ad2e478a91d7d34df0019d95b65917c2cca,-34.6347212,-58.479329,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0199957847268478
"84712",3938ee0f1f0a375ada8ffe5b184a0b9d1203df00,-34.6225258,-58.4875808,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0336366258513175
"133248",9ab709025461ee1644a016c8843f278900b72a6e,-34.6220699,-58.4885243,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0346570377216776
"140274",a72402804332e3efaaf74c0c9d342e229ff41a03,-34.621488,-58.48774,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0344223560471551
