barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
2,2016-11-30,66,365691.80272727273,0.0,10.0,78000.0,3250000.0,537034.1219058736
2,2016-12-31,73,539222.6027397261,1.0,20.0,65000.0,2200000.0,601469.4455757393
2,2017-01-31,130,195504.61538461538,5.0,5.0,50000.0,850000.0,128147.21177423191
2,2017-02-28,86,246029.10244186045,0.0,12.0,81847.54,800000.0,182849.52312770163
2,2017-03-31,288,227102.45329861113,8.0,9.0,47543.0,2250000.0,263475.36794273596
2,2017-04-30,218,278039.8027522936,8.0,29.0,23000.0,1200000.0,204927.24188751602
2,2017-05-31,342,266049.4214912281,3.0,39.0,59000.0,1098000.0,201668.62879572713
2,2017-06-30,343,316071.84839650145,3.0,50.0,60000.0,1650000.0,288943.96210459585
2,2017-07-31,460,480098.4375434782,0.0,81.0,84500.0,6000000.0,864124.9414114895
2,2017-08-31,48,380367.2916666667,5.0,7.0,46000.0,3000000.0,584598.8543809959
2,2017-09-30,347,320186.92740634,0.0,37.0,79000.0,3650000.0,369067.3022018661
2,2017-10-31,253,250719.42762845848,0.0,12.0,85000.0,1250000.0,135183.95323865963
2,2017-11-30,138,297723.009057971,3.0,14.0,75000.0,980000.0,172203.38185129664
2,2017-12-31,47,325391.829787234,0.0,10.0,79000.0,835000.0,206717.4548587389
2,2018-01-31,34,316670.62205882353,0.0,5.0,118000.0,1500000.0,274076.74480527075
3,2014-07-31,4,175725.0,0.0,0.0,78000.0,280000.0,83773.32013634572
3,2014-08-31,12,186458.33333333334,1.0,0.0,74500.0,450000.0,119318.79725671005
3,2014-09-30,7,193571.42857142858,0.0,1.0,76000.0,800000.0,267907.6999906604
3,2014-10-31,1,157000.0,0.0,0.0,157000.0,157000.0,
3,2014-11-30,16,129501.49562500001,6.0,0.0,65159.06,247596.55,58160.06810772892
3,2014-12-31,4,132212.83000000002,1.0,0.0,70000.0,211351.32,58630.76780242834
3,2015-01-31,1,89000.0,0.0,0.0,89000.0,89000.0,
3,2015-02-28,6,157333.33333333334,2.0,0.0,69000.0,205000.0,68063.6956583072
3,2015-03-31,5,152800.0,0.0,0.0,104500.0,185000.0,44091.66587916587
3,2015-04-30,43,657672.0930232558,5.0,9.0,65000.0,6500000.0,1404709.0063554056
3,2015-05-31,22,223545.45454545456,10.0,2.0,70000.0,1900000.0,422702.8368862555
3,2015-06-30,9,174444.44444444444,2.0,0.0,75000.0,415000.0,139875.93709347502
3,2015-07-31,28,183321.42857142858,3.0,3.0,75000.0,690000.0,189711.6337187943
3,2015-08-31,8,704687.5,0.0,3.0,107500.0,1650000.0,783005.2425248688
3,2015-09-30,27,128222.22222222222,3.0,0.0,65000.0,230000.0,52535.21407540582
3,2015-10-31,32,254274.4340625,0.0,3.0,88000.0,900000.0,211712.91059754766
3,2015-11-30,11,267718.1818181818,0.0,0.0,139000.0,335000.0,66238.0074908933
3,2015-12-31,17,113234.70588235294,3.0,0.0,75000.0,253000.0,42378.741445099426
3,2016-01-31,14,290000.0,6.0,2.0,50000.0,1350000.0,453270.1690535636
3,2016-02-29,11,185180.0,0.0,0.0,95000.0,350000.0,98570.04808764171
3,2016-03-31,23,240178.0,2.0,3.0,50000.0,700000.0,190563.5167894994
3,2016-04-30,23,201867.39130434784,2.0,1.0,51000.0,1150000.0,216294.05048383452
3,2016-05-31,7,189042.7142857143,0.0,0.0,82000.0,460000.0,133279.78418189095
3,2016-06-30,14,296267.85714285716,0.0,2.0,86250.0,1750000.0,433840.7460414756
3,2016-07-31,19,247684.2105263158,1.0,3.0,51000.0,695000.0,184893.078000226
3,2016-08-31,13,307846.1538461539,2.0,3.0,65000.0,1345000.0,386434.5235944131
3,2016-09-30,15,197400.0,1.0,1.0,73000.0,668000.0,147984.9413188479
3,2016-10-31,7,426414.28571428574,0.0,1.0,87000.0,1650000.0,550821.3576970651
