lat,long,id,object,name,comune
-34.6302025072799,-58.3954031198439,789,public WiFi location,"Metrobus Sur Roca, Estación Garrahan",4
-34.6311787402839,-58.4072377870742,787,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación La Rioja",4
-34.6080500788813,-58.4101251797948,780,public WiFi location,Paseo Comercial Once,3
-34.5490006329618,-58.471552863463,779,public WiFi location,"Parques y Plazas, Plaza Ildefonso F. Cavagna Martínez 1",12
-34.5387596003058,-58.4756270415858,778,public WiFi location,"Metrobus Norte, Estación Gral Paz",12
-34.5475997991353,-58.4693288167508,777,public WiFi location,"Metrobus Norte, Estación Manzanares",12
-34.5411475184171,-58.4741272894864,776,public WiFi location,"Metrobus Norte, Estación Pico",13
-34.5426700972018,-58.4728656590481,775,public WiFi location,"Metrobus Norte, Estación Arias",13
-34.543416135974,-58.4723041219133,774,public WiFi location,"Metrobus Norte, Estación Ramallo",13
-34.5441998258754,-58.4718760845726,773,public WiFi location,"Metrobus Norte, Estación Correa",12
-34.544937111459,-58.4713366225486,772,public WiFi location,"Metrobus Norte, Estación Ruiz Huidobro",12
-34.5456107079002,-58.4706988395169,771,public WiFi location,"Metrobus Norte, Estación Besares",12
-34.5463409597302,-58.4701574678602,770,public WiFi location,"Metrobus Norte, Estación Vilela",12
-34.5470417642929,-58.4697347166123,769,public WiFi location,"Metrobus Norte, Estación Paroissien",12
-34.548655123925,-58.4683330780308,768,public WiFi location,"Metrobus Norte, Estación Crisólogo Larralde",13
-34.5493114026622,-58.4678167027947,767,public WiFi location,"Metrobus Norte, Estación Nuñez",13
-34.5505184193538,-58.4670162945276,766,public WiFi location,"Metrobus Norte, Estación Juana Azurduy",13
-34.5512938726482,-58.4664176019391,765,public WiFi location,"Metrobus Norte, Estación Manuela Pedraza",13
-34.5516181217735,-58.4659565730017,764,public WiFi location,"Metrobus Norte, Estación Campos Salles",13
-34.5530940057382,-58.4647658256463,763,public WiFi location,"Metrobus Norte, Estación Iberá",13
-34.554011184228,-58.4640892864815,762,public WiFi location,"Metrobus Norte, Estación Quesada",13
-34.5550133219248,-58.463088723247,761,public WiFi location,"Metrobus Norte, Estación Congreso",13
-34.5558893609705,-58.4620814462484,760,public WiFi location,"Metrobus Norte, Estación Ugarte",13
-34.55684835419,-58.4611585387294,759,public WiFi location,"Metrobus Norte, Estación Roosevelt",13
-34.5418875747147,-58.4735911015055,758,public WiFi location,"Metrobus Norte, Estación Deheza",13
-34.6028088180228,-58.4651092906593,752,public WiFi location,"Metrobus San Martín, Estación Av. Donato Alvarez 1",15
-34.5969100989045,-58.4951273177937,751,public WiFi location,"Metrobus San Martín, Estación Roffo",11
-34.5846232300563,-58.3794688862688,750,public WiFi location,Barrio 31-Galpón,1
-34.5894166206452,-58.4162346420822,749,public WiFi location,"Parques y Plazas, Plaza Güemes",14
-34.6042711375395,-58.4592985709344,748,public WiFi location,"Metrobus San Martín, Estación Pappo Napolitano",11
-34.597468679394,-58.4870182772787,747,public WiFi location,"Metrobus San Martín, Estación 2 de Abril",11
-34.6298778880502,-58.4827716967653,742,public WiFi location,"Parques y Plazas, Plaza Vélez Sarsfield",10
-34.5828236062077,-58.3789725827467,741,public WiFi location,Barrio 31-Cancha Güemes,1
-34.5830028247436,-58.3800470755741,740,public WiFi location,Barrio 31-Plaza de María,1
-34.5853245139111,-58.3768086800292,739,public WiFi location,Barrio 31-Feria,1
-34.5916252574472,-58.5112021395219,738,public WiFi location,"Metrobus San Martín, Estación Mosconi",11
-34.6288920257169,-58.4935197583721,737,public WiFi location,"Parques y Plazas, Plaza de la Bandera",10
-34.6402752087943,-58.4060232550507,736,public WiFi location,"Parques y Plazas, Manzana Cívica",4
-34.5904194950036,-58.5151941830855,735,public WiFi location,"Metrobus San Martín, Estación Ladines",11
-34.5929460676286,-58.5075942417535,734,public WiFi location,"Metrobus San Martín, Estación Cubas",11
-34.5959870963169,-58.499404116066,733,public WiFi location,"Metrobus San Martín, Estación Solano López",11
