,barrio_,b_id_,month_,year_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
626,LINIERS,21.0,7,2015,1199275.0,6391565.0,2609814.960526316,1513862.4614262863,70000.0,370000.0,152026.31578947368,87847.48046791897,19
627,LINIERS,21.0,7,2016,878267.5,7265667.5,2570041.361111111,1682229.590481718,55000.0,455000.0,160944.44444444444,105346.75082078579,18
628,LINIERS,21.0,7,2017,544262.59,13380180.0,2635187.9682017546,1588878.3769195701,30846.02,760000.0,149357.21684210526,89808.46747332488,228
629,LINIERS,21.0,8,2014,2332057.5,2763920.0,2565263.25,177572.00138652677,135000.0,160000.0,148500.0,10279.429296739516,4
630,LINIERS,21.0,8,2015,1130745.0,4026137.5,2029543.1818181819,815958.1668919147,66000.0,235000.0,118363.63636363637,47598.89227129709,11
631,LINIERS,21.0,8,2016,926173.0,4630865.0,2327235.304347826,1032875.583365749,58000.0,290000.0,145739.13043478262,64682.066779331115,23
632,LINIERS,21.0,8,2017,1848577.5,11443575.0,4150828.214285714,3380292.6366079096,105000.0,650000.0,234428.57142857142,191017.3265638985,7
633,LINIERS,21.0,9,2014,1036470.0,3800390.0,1921171.1785714286,773643.0253541856,60000.0,220000.0,111214.28571428571,44785.262980357504,14
634,LINIERS,21.0,9,2015,1027950.0,4968425.0,2039624.125,1279756.9490607425,60000.0,290000.0,119050.0,74697.61850639094,20
635,LINIERS,21.0,9,2016,1149732.0,5509132.5,2276732.370588235,1331001.0006235896,72000.0,345000.0,142576.4705882353,83351.66112180792,17
636,LINIERS,21.0,9,2017,1129375.0,9556250.0,3115827.862244898,1909863.3579136836,65000.0,550000.0,179230.61224489796,110178.85687236312,49
637,LINIERS,21.0,10,2014,1295587.5,2332057.5,1479510.1176470588,250624.74648082754,75000.0,135000.0,85647.05882352941,14508.364727246953,17
638,LINIERS,21.0,10,2015,959420.0,3769150.0,1967916.322580645,786326.6986739279,56000.0,220000.0,114864.51612903226,45896.786731295964,31
639,LINIERS,21.0,10,2016,910204.5,6307557.5,2482463.01,1266042.761868318,57000.0,395000.0,155460.0,79283.76252423947,25
640,LINIERS,21.0,10,2017,192281.41,11003437.5,3047494.533818182,2281740.777648002,11111.0,625000.0,172963.83636363636,130379.54469132485,55
641,LINIERS,21.0,11,2014,1727450.0,14683325.0,4833405.1,5543747.43958611,100000.0,850000.0,279800.0,320920.8625190952,5
642,LINIERS,21.0,11,2015,942287.5,5139750.0,2241502.0833333335,1370187.8494898365,55000.0,300000.0,130833.33333333333,79975.94335268272,12
643,LINIERS,21.0,11,2016,551472.14,6307557.5,2183576.869,1226987.6780691254,34535.0,395000.0,136742.76666666666,76838.00466938059,60
644,LINIERS,21.0,11,2017,109999.97,7755750.0,2923809.408181818,1913222.9156191098,6382.36,450000.0,165875.22303030302,111376.68730659706,33
645,LINIERS,21.0,12,2014,1122842.5,15547050.0,3210753.7333333334,3592679.932549645,65000.0,900000.0,185866.66666666666,207975.91435640075,15
