barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
3,2015-08-31,7,2322.7999999999997,0.0,0.0,2322.8,2322.8,0.0
3,2015-11-30,7,1836.9300000000003,0.0,0.0,1740.27,1889.7,70.87597195100747
3,2015-12-31,3,2500.0,0.0,0.0,2500.0,2500.0,0.0
3,2016-01-31,5,10000.0,0.0,5.0,10000.0,10000.0,0.0
3,2016-02-29,6,1264.59,0.0,0.0,1264.59,1264.59,0.0
3,2016-03-31,7,282.1014285714285,7.0,0.0,272.87,283.64,4.07067737430937
3,2016-05-31,8,3249.6000000000004,0.0,3.0,399.36,8000.0,3933.7049197199035
3,2016-06-30,3,693.14,0.0,0.0,446.14,1187.14,427.8165494695128
3,2016-07-31,17,512.8488235294118,0.0,0.0,446.18,1171.63,171.6677566508324
3,2016-08-31,7,409.42999999999995,0.0,0.0,409.43,409.43,0.0
3,2016-09-30,2,727.64,1.0,0.0,345.93,1109.35,539.8194588934341
3,2016-10-31,3,384.53333333333336,0.0,0.0,382.44,388.72,3.625759690510887
3,2016-11-30,14,626.1385714285714,4.0,0.0,352.0,875.56,259.18260770403504
3,2016-12-31,12,510.2925000000001,0.0,0.0,456.17,582.71,46.01273758922138
3,2017-01-31,6,8000.0,0.0,6.0,8000.0,8000.0,0.0
3,2017-02-28,1,321.0,1.0,0.0,321.0,321.0,
3,2017-03-31,10,883.052,0.0,0.0,755.88,1186.35,138.92600970780575
3,2017-04-30,10,704.8969999999999,0.0,0.0,432.1,1133.82,332.9142979156447
3,2017-05-31,16,1058.2193750000001,0.0,0.0,409.43,1440.33,321.16693573008104
3,2017-06-30,9,2040.2766666666664,1.0,3.0,281.8,5221.93,2338.909680299776
3,2017-07-31,40,1581.0832500000001,4.0,4.0,364.54,5697.84,1447.9076383338738
3,2017-08-31,18,972.7383333333332,1.0,0.0,316.54,2146.79,800.3679143571117
3,2017-09-30,45,2570.717555555555,0.0,7.0,425.31,7000.0,2082.6128779243068
3,2017-10-31,44,901.733409090909,4.0,0.0,321.94,2309.25,611.2254116077673
3,2017-11-30,20,773.3725000000001,0.0,0.0,494.14,1328.71,221.63152171958043
3,2017-12-31,20,1982.6019999999996,0.0,4.0,424.62,7000.0,2605.2061977642907
3,2018-01-31,10,1707.163,0.0,1.0,382.06,12100.0,3656.103857578599
4,2014-07-31,3,864.9633333333335,0.0,0.0,564.58,1305.2,389.6135421585514
4,2014-08-31,6,1586.0366666666669,4.0,0.0,217.28,4230.92,2049.1365917250773
4,2014-09-30,9,9136.702222222222,1.0,3.0,279.39,26470.15,13000.334173203759
4,2014-10-31,12,1010.3299999999999,0.0,0.0,437.66,2600.0,771.9185949072845
4,2014-11-30,34,4983.867941176472,5.0,5.0,214.63,26966.89,9286.102203533916
4,2014-12-31,18,1000.051111111111,0.0,0.0,685.77,1080.07,119.91688057046696
4,2015-01-31,11,580.5854545454545,7.0,0.0,331.82,2006.26,500.6750888223548
4,2015-02-28,24,818.6054166666668,6.0,0.0,297.21,1431.02,328.5364633853173
4,2015-03-31,20,737.5319999999998,14.0,0.0,150.51,2569.75,957.0201460212456
4,2015-04-30,7,2056.024285714286,1.0,0.0,297.99,2349.03,775.2202527208455
4,2015-05-31,40,595.9017500000003,23.0,0.0,201.83,1439.13,485.0316388511193
4,2015-06-30,26,6943.592692307692,7.0,18.0,192.73,15000.0,5691.700631957769
4,2015-07-31,34,6899.114705882353,1.0,13.0,260.7,25000.0,9524.969905870294
4,2015-08-31,17,586.2805882352941,5.0,0.0,221.23,1669.94,330.0486739950372
4,2015-09-30,23,933.1434782608695,4.0,0.0,248.35,3795.59,1007.3643415666843
