id,Commune,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,b_id
32245,15,71.1,4,85.1,2,27.5,4,11.0,5,33.6,4,61.2,6,88.7,5,5.6,7,6.0
32246,15,66.8,3,89.5,7,39.7,8,16.1,7,13.1,0,43.7,1,83.4,2,3.9,5,6.0
32248,15,65.5,2,89.1,6,33.3,6,15.3,7,26.9,2,55.7,4,89.1,5,0.0,0,6.0
32249,15,69.5,4,87.6,5,24.5,3,9.7,4,32.6,4,62.1,6,86.6,4,1.1,1,6.0
32268,15,75.0,6,84.7,2,20.1,1,8.2,2,46.1,7,48.9,2,69.0,0,2.6,3,6.0
32282,14,73.7,6,87.9,5,30.1,5,9.1,3,39.1,5,53.7,3,83.8,2,2.2,3,6.0
32289,15,82.1,9,92.2,9,29.5,5,9.7,4,45.6,7,41.7,1,71.2,0,2.8,4,6.0
32294,15,76.6,7,89.8,7,13.2,0,6.2,0,41.1,6,73.1,9,86.3,3,1.8,2,6.0
32296,15,80.1,8,89.4,7,28.0,4,10.1,4,43.0,6,42.5,1,70.5,0,2.1,2,6.0
32303,15,71.9,5,85.9,3,27.1,4,8.4,2,36.6,5,56.1,4,83.1,2,4.9,7,6.0
32309,15,67.1,3,86.0,3,35.3,7,13.7,7,32.9,4,37.7,0,72.9,0,3.2,4,6.0
32325,15,76.7,7,90.4,8,22.3,2,11.3,5,41.7,6,47.6,2,69.9,0,1.5,1,6.0
32332,15,71.8,5,89.5,7,41.5,8,19.0,8,32.5,4,36.8,0,78.3,0,4.6,6,6.0
32335,15,62.4,2,89.9,7,40.7,8,17.3,8,17.5,1,49.5,2,90.2,6,3.8,5,6.0
32345,15,75.5,6,90.5,8,39.4,8,12.0,6,41.8,6,49.6,2,89.1,5,3.1,4,6.0
32352,15,69.3,4,84.0,1,33.3,6,11.6,5,38.7,5,57.7,4,91.0,7,5.6,7,6.0
32355,15,67.6,3,86.0,3,33.2,6,9.3,3,45.6,7,49.9,2,83.1,2,8.7,9,6.0
32357,15,69.6,4,86.1,3,30.9,5,12.9,6,39.4,5,54.6,3,85.6,3,3.2,4,6.0
32367,15,74.9,6,87.8,5,24.7,3,10.4,5,41.7,6,65.2,7,89.9,6,3.5,5,6.0
32374,15,65.0,2,86.2,3,32.2,6,15.7,7,20.9,1,59.8,5,92.0,8,2.1,2,6.0
32375,15,64.0,2,88.2,6,29.7,5,11.0,5,18.4,1,57.6,4,87.3,4,6.8,8,6.0
32380,15,73.0,5,85.3,2,16.2,0,9.7,4,39.5,5,58.6,5,74.8,0,3.3,5,6.0
32395,15,83.2,9,93.3,9,31.0,5,8.3,2,52.0,8,60.4,5,91.4,7,2.7,3,6.0
32396,15,70.4,4,86.4,3,31.1,5,9.8,4,37.0,5,60.9,5,92.0,8,3.0,4,6.0
32398,15,73.6,6,84.8,2,33.3,6,6.7,1,42.3,6,55.6,4,88.8,5,6.3,8,6.0
32400,15,71.0,4,82.2,0,29.9,5,10.9,5,37.5,5,61.1,6,91.0,7,1.3,1,6.0
32401,15,70.4,4,88.6,6,31.9,6,9.1,3,41.4,6,57.0,4,88.9,5,3.7,5,6.0
32404,14,77.0,7,92.2,9,49.4,9,10.4,5,54.4,8,35.6,0,85.0,3,7.5,8,6.0
32412,15,79.5,8,90.2,8,17.3,1,9.5,4,44.6,6,67.6,8,85.0,3,5.5,7,6.0
32418,15,68.2,3,90.8,8,52.1,9,19.4,8,31.5,4,41.5,1,93.5,9,1.1,1,6.0
32433,15,61.2,1,82.2,0,42.8,8,16.6,8,19.3,1,47.3,2,90.1,6,3.8,5,6.0
32435,15,76.7,7,90.1,7,29.4,5,9.5,4,40.0,5,51.2,3,80.5,1,0.7000000000000001,0,6.0
32439,15,89.5,9,94.9,9,26.5,4,7.9,2,59.4,9,28.1,0,54.6,0,1.4,1,6.0
32447,15,63.2,2,77.1,0,25.9,3,9.5,4,34.2,4,50.2,2,76.1,0,1.7000000000000002,2,6.0
32465,15,69.0,4,87.4,5,33.5,6,9.4,4,35.5,5,47.7,2,81.3,1,2.9,4,6.0
32468,15,84.8,9,94.0,9,27.5,4,10.4,5,51.5,8,56.4,4,83.9,2,3.2,4,6.0
32477,15,80.0,8,92.5,9,30.0,5,8.4,2,48.8,7,54.1,3,84.1,2,1.0,1,6.0
32484,15,74.0,6,90.2,8,30.1,5,11.7,5,38.7,5,55.7,4,85.8,3,9.0,9,6.0
32495,15,77.5,7,90.0,7,28.9,5,10.8,5,41.3,6,54.5,3,83.5,2,4.9,7,6.0
32498,15,69.8,4,87.7,5,31.7,6,15.8,7,28.8,3,39.2,0,70.9,0,5.0,7,6.0
32500,15,70.4,4,89.9,7,29.9,5,17.3,8,29.9,3,60.5,5,90.4,6,0.8,0,6.0
32507,15,73.8,6,85.3,2,41.6,8,11.2,5,44.9,6,47.9,2,89.5,6,3.5,5,6.0
32508,15,73.7,6,89.6,7,25.2,3,10.4,5,50.4,7,63.3,6,88.5,5,17.6,9,6.0
32510,5,77.4,7,88.8,6,34.5,6,8.3,2,47.9,7,57.2,4,91.7,8,3.8,5,6.0
32509,5,70.4,4,91.1,8,36.6,7,13.3,6,43.6,6,52.4,3,88.9,5,6.3,8,6.0
32515,5,75.3,6,90.7,8,25.6,3,10.5,5,51.8,8,65.7,7,91.3,7,4.3,6,6.0
32518,15,71.9,5,87.7,5,26.9,4,14.6,7,25.8,2,58.8,5,85.8,3,3.2,4,6.0
32521,15,74.5,6,90.0,7,31.6,6,8.1,2,44.1,6,47.1,2,78.7,1,2.7,3,6.0
32527,15,69.5,4,85.9,3,33.2,6,12.5,6,36.3,5,58.6,5,91.8,8,1.8,2,6.0
32533,15,67.1,3,89.6,7,34.4,6,12.8,6,34.6,4,51.8,3,86.2,3,1.5,1,6.0
32561,15,74.2,6,87.8,5,32.7,6,9.4,4,39.7,5,40.6,1,73.2,0,5.7,7,6.0
32563,15,73.4,5,88.4,6,30.7,5,10.1,4,41.7,6,58.5,5,89.3,6,5.9,8,6.0
32572,15,74.9,6,84.8,2,24.5,3,13.3,6,39.6,5,66.6,7,91.0,7,1.6,2,6.0
32579,15,78.7,8,89.5,7,33.2,6,7.3,1,44.4,6,58.6,5,91.8,8,3.3,5,6.0
32585,15,65.7,3,86.9,4,28.6,4,10.8,5,37.4,5,64.8,7,93.4,9,0.4,0,6.0
32588,15,72.0,5,88.2,6,24.9,3,13.5,7,29.1,3,56.1,4,81.0,1,3.7,5,6.0
32596,15,67.5,3,80.9,0,27.8,4,13.4,6,34.6,4,57.9,4,85.6,3,1.3,1,6.0
32599,15,76.6,7,93.1,9,38.3,7,8.6,3,44.8,6,55.4,4,93.7,9,3.7,5,6.0
32620,15,66.5,3,86.6,4,35.6,7,14.0,7,26.3,2,52.1,3,87.7,4,2.5,3,6.0
32628,15,73.3,5,87.2,4,32.5,6,10.2,4,44.1,6,52.6,3,85.1,3,1.2,1,6.0
32636,15,75.6,6,86.3,3,33.7,6,9.6,4,43.9,6,45.9,1,79.6,1,2.9,4,6.0
32639,15,66.5,3,82.2,0,24.3,3,8.3,2,43.0,6,64.3,7,88.7,5,2.4,3,6.0
32644,15,78.8,8,91.2,8,22.5,2,8.0,2,34.5,4,70.5,8,93.0,8,2.6,3,6.0
32645,15,73.9,6,84.9,2,34.7,7,7.6,2,36.9,5,50.9,2,85.6,3,5.7,7,6.0
32646,15,75.3,6,86.0,3,27.9,4,11.2,5,39.5,5,53.0,3,80.9,1,4.3,6,6.0
32655,15,75.7,6,89.4,7,23.9,3,7.8,2,42.2,6,56.0,4,79.8,1,1.5,1,6.0
32662,15,76.2,7,88.1,5,35.2,7,12.3,6,43.2,6,49.8,2,85.1,3,1.3,1,6.0
32663,15,78.7,8,87.9,5,27.8,4,9.5,4,39.1,5,64.5,7,92.3,8,3.9,5,6.0
32666,15,74.5,6,91.0,8,29.6,5,7.9,2,38.4,5,49.6,2,79.2,1,1.6,2,6.0
32675,15,77.3,7,90.9,8,33.4,6,9.1,3,40.5,6,56.5,4,90.0,6,4.3,6,6.0
32679,15,77.4,7,90.9,8,28.4,4,12.9,6,40.4,6,65.4,7,93.8,9,5.6,7,6.0
