id,AREA,Commune,DEPTO,FRAC,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,LINK,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,PERIMETER,Owner Percent,Owner Quantile,PROV,RADIO,RADPAIS_,REDCODE,Regular Percent,Regular Quantile,TIPO,Uninhabited Percent,Uninhabited Quantile,coordinates,type
34113,60631.25,10,10.0,3.0,73.9,6,81.7,0,10.1,0,,11.5,5,30.0,3,1094.765,84.4,9,2.0,4.0,34113.0,20100304.0,94.5,9,,0.0,0,"[[[-58.52475, -34.62857], [-58.52473, -34.62865], [-58.52437, -34.62982], [-58.52432, -34.62995], [-58.52487, -34.63007], [-58.52542, -34.63018], [-58.52597, -34.6303], [-58.52652, -34.63041], [-58.52706, -34.63053], [-58.52761, -34.63065], [-58.52774, -34.63067], [-58.52793, -34.63071], [-58.5288, -34.62981], [-58.529, -34.62961], [-58.52913, -34.62948], [-58.52859, -34.62937], [-58.52803, -34.62926], [-58.52748, -34.62914], [-58.52694, -34.62903], [-58.52639, -34.62891], [-58.52585, -34.6288], [-58.5253, -34.62868], [-58.52475, -34.62857]]]",Polygon
34117,38227.0,1,1.0,21.0,65.8,3,88.0,5,53.7,9,,14.6,7,38.4,5,828.704,34.0,0,2.0,10.0,34117.0,20012110.0,87.7,4,,14.4,9,"[[[-58.38144, -34.61976], [-58.38145, -34.61985], [-58.38146, -34.62017], [-58.38145, -34.62096], [-58.38145, -34.62128], [-58.38142, -34.62216], [-58.38296, -34.62224], [-58.38297, -34.62113], [-58.38297, -34.621], [-58.38298, -34.61977], [-58.38279, -34.61977], [-58.38168, -34.61976], [-58.38144, -34.61976]]]",Polygon
34118,112967.9,10,10.0,3.0,67.8,3,85.9,3,9.9,0,,11.3,5,25.9,2,1417.896,82.0,9,2.0,5.0,34118.0,20100305.0,91.9,8,,3.7,5,"[[[-58.52913, -34.62948], [-58.529, -34.62961], [-58.5288, -34.62981], [-58.52793, -34.63071], [-58.52744, -34.63124], [-58.52731, -34.63136], [-58.52739, -34.63138], [-58.52721, -34.63212], [-58.52711, -34.63302], [-58.52843, -34.63312], [-58.52944, -34.63319], [-58.52999, -34.63321], [-58.53002, -34.63321], [-58.53017, -34.63321], [-58.53045, -34.63322], [-58.53046, -34.63306], [-58.53062, -34.63], [-58.53067, -34.62898], [-58.53035, -34.62896], [-58.5302, -34.62895], [-58.52969, -34.62891], [-58.52913, -34.62948]]]",Polygon
30020,55881.19,12,12.0,4.0,72.1,5,82.2,0,22.2,2,,10.1,4,37.2,5,963.331,72.1,9,2.0,6.0,30020.0,20120406.0,94.3,9,,3.8,5,"[[[-58.47462, -34.54178], [-58.47422, -34.5426], [-58.47383, -34.54339], [-58.4748, -34.54372], [-58.47571, -34.54402], [-58.47655, -34.5443], [-58.4767, -34.54435], [-58.4771, -34.54355], [-58.47742, -34.54291], [-58.4775, -34.54273], [-58.47649, -34.5424], [-58.47589, -34.5422], [-58.47562, -34.5421], [-58.47462, -34.54178]]]",Polygon
32918,28426.38,5,5.0,6.0,71.3,5,83.0,1,29.5,5,,9.1,3,36.1,5,767.879,50.6,2,2.0,6.0,32918.0,20050606.0,80.1,1,,4.9,7,"[[[-58.42882, -34.60412], [-58.42864, -34.60413], [-58.42733, -34.60421], [-58.42745, -34.60502], [-58.42747, -34.60511], [-58.42873, -34.60504], [-58.42895, -34.60501], [-58.42906, -34.605], [-58.43053, -34.60492], [-58.43043, -34.60418], [-58.4304, -34.60404], [-58.42882, -34.60412]]]",Polygon
34119,23949.5,6,6.0,21.0,75.0,6,88.7,6,27.0,4,,8.0,2,47.0,7,617.575,57.3,4,2.0,2.0,34119.0,20062102.0,84.3,2,,1.6,2,"[[[-58.43466, -34.62305], [-58.4346, -34.62329], [-58.43448, -34.62446], [-58.43622, -34.62456], [-58.43625, -34.62321], [-58.43598, -34.62319], [-58.43466, -34.62305]]]",Polygon
34120,16463.31,7,7.0,7.0,72.6,5,88.5,6,30.3,5,,11.0,5,35.1,4,513.546,64.8,7,2.0,3.0,34120.0,20070703.0,95.1,9,,3.9,5,"[[[-58.46752, -34.6251], [-58.46707, -34.62615], [-58.46726, -34.62621], [-58.46841, -34.62657], [-58.46887, -34.62553], [-58.46773, -34.62517], [-58.46752, -34.6251]]]",Polygon
30022,44326.06,13,13.0,1.0,80.4,8,91.4,8,17.1,0,,10.2,4,55.7,8,1077.979,66.9,7,2.0,13.0,30022.0,20130113.0,84.1,2,,2.9,4,"[[[-58.46958, -34.54148], [-58.46901, -34.54225], [-58.46843, -34.54303], [-58.46936, -34.5435], [-58.46994, -34.54273], [-58.47087, -34.5432], [-58.47209, -34.54382], [-58.47269, -34.54301], [-58.47145, -34.54242], [-58.47051, -34.54195], [-58.46958, -34.54148]]]",Polygon
34121,27839.13,3,3.0,22.0,66.0,3,87.2,4,37.3,7,,13.1,6,26.0,2,748.844,52.4,3,2.0,5.0,34121.0,20032205.0,89.7,6,,4.6,6,"[[[-58.3958, -34.62063], [-58.39578, -34.62076], [-58.39567, -34.62161], [-58.39564, -34.62175], [-58.39562, -34.62185], [-58.39537, -34.62297], [-58.39636, -34.62306], [-58.39643, -34.62288], [-58.39677, -34.6218], [-58.39683, -34.62158], [-58.39707, -34.62083], [-58.3971, -34.62071], [-58.39598, -34.62064], [-58.3958, -34.62063]]]",Polygon
34122,14702.0,3,3.0,22.0,72.0,5,92.3,9,35.0,7,,17.5,8,32.5,4,484.839,55.7,4,2.0,4.0,34122.0,20032204.0,90.7,7,,2.2,3,"[[[-58.39449, -34.62054], [-58.39449, -34.62067], [-58.39446, -34.6217], [-58.39564, -34.62175], [-58.39567, -34.62161], [-58.39578, -34.62076], [-58.3958, -34.62063], [-58.39449, -34.62054]]]",Polygon
34124,25636.25,6,6.0,13.0,74.7,6,88.9,6,28.0,4,,7.5,1,46.8,7,666.531,65.7,7,2.0,2.0,34124.0,20061302.0,93.7,9,,2.1,2,"[[[-58.44989, -34.62402], [-58.44949, -34.62502], [-58.4497, -34.62511], [-58.45147, -34.6259], [-58.45198, -34.62484], [-58.45067, -34.62432], [-58.45043, -34.62423], [-58.44989, -34.62402]]]",Polygon
34125,16181.88,3,3.0,23.0,54.5,1,81.7,0,39.3,8,,11.0,5,22.0,1,509.101,55.5,4,2.0,4.0,34125.0,20032304.0,94.8,9,,2.8,4,"[[[-58.39849, -34.62081], [-58.39846, -34.62092], [-58.3982, -34.62189], [-58.39957, -34.62208], [-58.39983, -34.62091], [-58.39849, -34.62081]]]",Polygon
