index,Name,Longitude,Latitude,Type,b_id
102,"BIBLIOTECA ""EMILIO FRES"" DE LA UNIVERSIDAD MUSEO SOCIAL ARGENTINO",-58.39131287,-34.60428575,cultural center,43
103,"BIBLIOTECA ""ENRIQUE PRINS"" DEL INSTITUTO UNIVERSITARIO NACIONAL DEL ARTE",-58.35627689,-34.61792474,cultural center,48
104,BIBLIOTECA ESCUELA SUPERIOR DE GUERRA AEREA,-58.37038081,-34.58429894,cultural center,35
105,BIBLIOTECA ESTEBAN ECHEVERRIA DE LA LEGISLATURA PORTE�A,-58.37480305,-34.60954443,cultural center,36
106,"BIBLIOTECA ""EZEQUIEL MARTINEZ ESTRADA"" DE LA UNIVERSIDAD FAVALORO",-58.39069297,-34.61383656,cultural center,36
107,BIBLIOTECA FUNDACION DE ALTOS ESTUDIOS EN CIENCIAS COMERCIALES,-58.38625894,-34.60812254,cultural center,43
108,BIBLIOTECA FUNDACION DE ESTUDIOS BRASILEIROS. LIBRERIA FLOR DO IPE,-58.37838014,-34.59680018,cultural center,35
109,"BIBLIOTECA LABORATORIOS ALCON ""CARLOS S. DAMEL""",-58.38746989,-34.60646115,cultural center,43
110,BIBLIOTECA LEOPOLDO TETTAMANTI,-58.37571074,-34.61097792,cultural center,36
111,BIBLIOTECA MANUEL GALVEZ,-58.38913456,-34.59949212,cultural center,43
112,BIBLIOTECA MARISEL MONTOTO RODRIGUEZ,-58.37873162,-34.60894577,cultural center,36
113,BIBLIOTECA MARTIN DEL BARCO CENTENERA - ANEXO INFANTIL �ANTOINE DE SAINT-EXUPERY� - ANEXO BIBLIOTECA DE LA MUJER �ALFONSINA STORNI�,-58.38808515,-34.61473095,cultural center,36
114,BIBLIOTECA NACIONAL DE METEOROLOGIA �ING. ALFREDO G. GALMARINI�,-58.37137799,-34.60008465,cultural center,43
115,BIBLIOTECA POPULAR ADOLFO SALDIAS,-58.38950883,-34.60133662,cultural center,43
116,BIBLIOTECA POPULAR CAROLINA MUZILLI ASOCIACION CIVIL,-58.38625478,-34.63114555,cultural center,38
117,BIBLIOTECA POPULAR DR. ARTURO JAURETCHE,-58.37444962,-34.61763922,cultural center,41
118,BIBLIOTECA POPULAR J. M. ESTRADA,-58.37246474,-34.60244353,cultural center,43
119,BIBLIOTECA POPULAR JOAQUIN V. GONZALEZ,-58.38422422,-34.60631962,cultural center,43
120,BIBLIOTECA RICARDO G�IRALDES,-58.38594357,-34.59364171,cultural center,35
121,BIBLIOTECA SAN BENITO ABAD DE LA UNIVERSIDAD CATOLICA ARGENTINA,-58.36620231,-34.61315423,cultural center,48
122,BIBLIOTECA UNIVERSITARIA DEL CINE,-58.37063728,-34.61784318,cultural center,41
123,"BIBLIOTECA ""UTOPIA"" DEL CENTRO CULTURAL DE LA COOPERACION",-58.38853378,-34.60415199,cultural center,43
124,BIBLIOTECA Y ARCHIVO DOCUMENTAL DEL INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA (INTA),-58.37249052,-34.61605839,cultural center,41
125,BIBLIOTECA Y CENTRO ADMNISTRATIVO DOCUMENTAL SEDRONAR,-58.37456643,-34.60455047,cultural center,43
126,BIDOU DE LAS LUCES,-58.37484583,-34.61112859,cultural center,36
127,BOLSA DEL LIBRO CUARTO INTERMEDIO,-58.38716964,-34.6017234,cultural center,43
128,BOSTON CITY,-58.37502524,-34.60612569,cultural center,43
129,BRANCA JORGE D,-58.37971004,-34.6025091,cultural center,43
130,BRITANICO,-58.37083484,-34.62530893,cultural center,41
131,BRITISH ART CENTRE,-58.38006434,-34.59217983,cultural center,35
132,BROADWAY I  Y II,-58.38317048,-34.60371381,cultural center,43
133,BRUJAS,-58.390781700000005,-34.60392105,cultural center,43
134,BUENOS AIRES BOOKS,-58.38299411,-34.61709036,cultural center,36
135,BUENOS AIRES MON AMOUR CINE CLUB,-58.37697383,-34.59681634,cultural center,35
136,BUKOWSKI BAR,-58.38832417,-34.60771898,cultural center,43
137,BUQUE MUSEO ARA CORBETA URUGUAY,-58.36707576,-34.60340864,cultural center,48
138,BUQUE MUSEO FRAGATA ARA PRESIDENTE SARMIENTO,-58.36639182,-34.6093781,cultural center,48
139,CAFE DE LA JUNTA DE 1810,-58.37548223,-34.60864097,cultural center,36
140,CAFE DORREGO,-58.37139071,-34.62055305,cultural center,41
141,CAFE LITERARIO OSVALDO BAYER,-58.38683963,-34.61002853,cultural center,36
142,CAFE MAR AZUL,-58.39112853,-34.60194027,cultural center,43
143,CAFE RETIRO,-58.37452242,-34.59175695,cultural center,35
144,CAFE TORTONI,-58.37812207,-34.60882556,cultural center,36
145,CAFE VICTORIA,-58.39176109,-34.61054004,cultural center,36
146,CAFE Y BAR RONAS,-58.38057056,-34.60891494,cultural center,36
147,CALESITA DE PARQUE LEZAMA,-58.37045341,-34.62809333,cultural center,41
148,CALESITA EL PATO,-58.39148552,-34.62098366,cultural center,38
149,CALVO Y RODRIGUEZ JOSE ANTONIO,-58.37830219,-34.60234302,cultural center,43
150,CANDILEJAS TANGO,-58.38727543,-34.61882394,cultural center,38
151,CANTACLARO,-58.38398944,-34.60376152,cultural center,43
