index,Name,Longitude,Latitude,Type,b_id
6,Skate Park Lugano,-58.4655935380423,-34.686425684346396,skate park,30
7,Plaza Las Toscaneras,-58.52511506315929,-34.6162091906116,skate park,45
8,Paseo del Riachuelo,-58.412493232268496,-34.6582518221155,skate park,46
9,Plaza Paseo de las Americas,-58.4383120842126,-34.550789221441605,skate park,1
10,Parque Costanera,-58.4281984097246,-34.5500770791255,skate park,1
0,AVELLANEDA,-58.474297231567704,-34.6460080345386,sports center,10
1,CHACABUCO,-58.444741176032295,-34.6330745192493,sports center,9
2,COLEGIALES,-58.4446741367092,-34.5794594978438,sports center,28
3,COSTA RICA,-58.4767720087481,-34.591636498021394,sports center,25
4,DON PEPE,-58.376413129685496,-34.6381418468453,sports center,32
5,DORREGO,-58.49604472766249,-34.6674350806665,sports center,18
6,MARTIN FIERRO,-58.408576765736896,-34.626085278429606,sports center,5
7,ONEGA,-58.5137582460452,-34.5944241740242,sports center,23
8,PATRICIOS,-58.4088940560445,-34.6390976996566,sports center,40
9,POMAR,-58.4911509087536,-34.622347486079505,sports center,8
10,SANTOJANNI,-58.5131533538682,-34.646194450180396,sports center,21
11,PEREYRA,-58.3894321267513,-34.649279232219,sports center,32
12,MANUEL BELGRANO (ex KDT),-58.4017985221642,-34.5726986207638,sports center,0
13,JULIO A. ROCA,-58.4415247657096,-34.668010642133495,sports center,37
14,SARMIENTO,-58.4985102827665,-34.5531024373884,sports center,15
15,CAMPO DE GOLF,-58.434529663511704,-34.5584411681151,sports center,0
0,Club Atletico River Plate,-58.44976633774429,-34.5453056273984,futbol club,1
1,Club Atlético Vélez Sarsfield,-58.520663302398795,-34.6353302822112,futbol club,21
2,Club Atlético Boca Juniors,-58.3647578638825,-34.6357361054272,futbol club,24
3,Club Atlético Huracán,-58.3965659311413,-34.643461682811306,futbol club,40
4,Club Atlético San Lorenzo de Almagro,-58.4402206537969,-34.652037774849,futbol club,19
5,Club Deportivo Español de Buenos Aires,-58.464525557280595,-34.6578677846918,futbol club,10
6,Club Atlético Nueva Chicago,-58.4997533034693,-34.6680548186919,futbol club,18
7,Asociación Atlética Argentinos Juniors,-58.4730282035083,-34.6062764076556,futbol club,7
8,Club Ferro Carril Oeste,-58.4476874806095,-34.6185840408399,futbol club,11
9,Club Atlético All Boys,-58.4978449274547,-34.6165260649432,futbol club,33
10,Club Atlético Atlanta,-58.449273837511605,-34.5949090421977,futbol club,6
11,Club Atlético Defensores de Belgrano,-58.461926529389,-34.541177456343306,futbol club,2
12,Club Atlético Excursionistas,-58.443155796216494,-34.5588388531396,futbol club,1
13,Club Atlético Barracas Central,-58.39686119070661,-34.6475043768536,futbol club,32
14,Club Comunicaciones,-58.4884576852379,-34.5941414592145,futbol club,25
15,Club Atlético General Lamadrid,-58.5156918286413,-34.6132869330386,futbol club,23
16,Buenos Aires Lawn Tennis Club,-58.43028166307771,-34.5622382531287,futbol club,0
17,Campo Argentino de Polo,-58.4265618654418,-34.5715537662885,futbol club,0
18,GEBA (sede Jorge Newbery),-58.41946990851561,-34.5680397371448,futbol club,0
19,Club Atlético Boca Juniors,-58.3658495825069,-34.632031223171396,futbol club,24
20,Luna Park,-58.3684286442721,-34.602620813573,futbol club,43
21,Estadio Mary Terán de Weiss,-58.446196583368,-34.677176843559195,futbol club,37
22,Club Atlético Obras Sanitarias de la Nación,-58.4581218521634,-34.545537538516,futbol club,2
23,Deportivo Riestra Asociación de Fomento Barrio Colón,-58.443404135619,-34.6533406140494,futbol club,37
24,Asociación Atlética Argentinos Juniors,-58.471469748783996,-34.5919053134849,futbol club,27
25,Club Atletico River Plate,-58.448637184002706,-34.5464263236206,futbol club,1
26,Club Ferro Carril Oeste,-58.44883528294721,-34.6185215731039,futbol club,11
27,Centro Nacional de Alto Rendimiento Deportivo,-58.456713141316996,-34.5463295667752,futbol club,2
28,Autodromo Oscar y Juan Galvez,-58.4679400686761,-34.698094232851,futbol club,34
29,Sacachispas Fútbol Club,-58.451896145027504,-34.6645727780083,futbol club,37
